Account,Period,Transaction Date,Amount,Description,LA1,LA2,LA3,LA4,LA5
210200,007/2020,31/10/2020,18.02,AH028910_Station Road,AG0812BA1,,1200208,AG,C018
210200,007/2020,31/10/2020,18.02,AH028914_Little Road,AG0027BA1,,1000143,AG,C018
210200,007/2020,31/10/2020,1423.36,AH028917_Little Road,AG0027BA1,,1000143,AG,C018
210200,007/2020,31/10/2020,18.02,AH028935_Dawes Road,AG0746BA1,,7600,AG,C018
210200,007/2020,31/10/2020,477.68,AH028997_Goldhawk Road,AG0006BA1,,1000017,AG,C018
700440,007/2020,31/10/2020,3588.15,AH029031_Little Road,AG0027BA1,,1000143,AG,C018
700440,007/2020,31/10/2020,4603.76,AH029032_Shepherds Bush Ro,AG0528BA1,,4909,AG,C018
210200,007/2020,31/10/2020,327.42,AH029033_Ellingham Road,AG0713BA1,,4485,AG,C018
210200,007/2020,31/10/2020,583.92,AH029041_Heather Lane,AG0107BA1,,12384,AG,C018
210200,007/2020,31/10/2020,164.09,AH029045_Goldhawk Road,AG0006BA1,,1000017,AG,C018
210200,007/2020,31/10/2020,77.69,AH029049_Station Road,AG0812BA1,,845,AG,C018
210200,007/2020,31/10/2020,108.00,AH029070_Wellington Road S,AG0860BA1,,SO32,AG,C018
210200,007/2020,31/10/2020,178.52,AH029071_Richford Street,AG0858BA1,,1200216,AG,C018
210200,007/2020,31/10/2020,303.70,AH029078_Shorrolds Road,AG0243BA1,,8541,AG,C018
210200,007/2020,31/10/2020,55.05,AH029083_Bishops Road,AG0028BA1,,1000144,AG,C018
210200,007/2020,31/10/2020,314.48,AH029085_Talgarth Road,AG0859BA1,,1200129,AG,C018
210200,007/2020,31/10/2020,65.76,AH029089_Woodstock Grove,AG0850BA1,,1200053,AG,C018
210200,007/2020,31/10/2020,86.66,AH029091_Lakeside Road,AG0855BA1,,S014,AG,C018
210200,007/2020,31/10/2020,117.95,AH029092_Little Road,AG0027BA1,,1000143,AG,C018
210200,007/2020,31/10/2020,143.32,AH029102_Shepherds Bush Ro,AG0528BA1,,4909,AG,C018
210200,007/2020,31/10/2020,68.09,AH029113_Dawes Road,AG0746BA1,,1200036,AG,C018
210200,007/2020,31/10/2020,55.67,AH029115_Westwick Gardens,AG0357BA1,,1200179,AG,C018
210200,007/2020,31/10/2020,73.18,AH029116_Woodstock Grove,AG0850BA1,,1200061,AG,C018
210200,007/2020,31/10/2020,118.25,AH029117_Wellington Road,AG0861BA1,,S033,AG,C018
210200,007/2020,31/10/2020,118.25,AH029120_Hammersmith Grove,AG0848BA1,,S007,AG,C018
210200,007/2020,31/10/2020,363.80,AH029130_Wellington Road S,AG0860BA1,,SO32,AG,C018
210200,007/2020,31/10/2020,381.46,AH029134_Queens Walk,AG0849BA1,,S018,AG,C018
210200,007/2020,31/10/2020,30.36,AH029139_Butlers Close,AG0100BA1,,9334,AG,C018
210200,007/2020,31/10/2020,69.05,AH029146_Butlers Close,AG0100BA1,,9334,AG,C018
700440,007/2020,31/10/2020,2040.37,AH029149_Station Road,AG0812BA1,,1200207,AG,C018
210200,007/2020,31/10/2020,109.62,AH029155_Station Road,AG0812BA1,,1200209,AG,C018
210200,007/2020,31/10/2020,119.74,AH029158_Bishops Road,AG0028BA1,,1000144,AG,C018
210200,007/2020,31/10/2020,175.63,AH029165_Musard Road,AG0256BA1,,8642,AG,C018
210200,007/2020,31/10/2020,68.37,AH029168_Hammersmith Grove,AG0848BA1,,1200068,AG,C018
210200,007/2020,31/10/2020,706.47,AH029169_Little Road,AG0027BA1,,1000143,AG,C018
210200,007/2020,31/10/2020,68.74,AH029171_Shepherds Bush Ro,AG0528BA1,,4909,AG,C018
210200,007/2020,31/10/2020,30.36,AH029172_Butlers Close,AG0100BA1,,9334,AG,C018
210200,007/2020,31/10/2020,148.61,AH029181_Wellington Road S,AG0860BA1,,SO32,AG,C018
210200,007/2020,31/10/2020,67.62,AH029190_Sutton Court Road,AG0435BA1,,3907,AG,C018
210200,007/2020,31/10/2020,118.25,AH029193_Woodstock Grove,AG0850BA1,,1200053,AG,C018
210200,007/2020,31/10/2020,30.36,AH029194_Dawes Road,AG0746BA1,,7600,AG,C018
210200,007/2020,31/10/2020,87.36,AH029196_Butlers Close,AG0100BA1,,9334,AG,C018
210200,007/2020,31/10/2020,55.40,AH029202_Sutton Court Road,AG0435BA1,,3907,AG,C018
210200,007/2020,31/10/2020,157.32,AH029203_Sutton Court Road,AG0435BA1,,3907,AG,C018
210200,007/2020,31/10/2020,48.43,AH029204_Butlers Close,AG0100BA1,,1200006,AG,C018
210200,007/2020,31/10/2020,48.43,AH029205_Butlers Close,AG0100BA1,,1200007,AG,C018
210200,007/2020,31/10/2020,30.36,AH029208_Old Oak Road,AG0857BA1,,S017,AG,C018
210200,007/2020,31/10/2020,67.62,AH029216_St Anselms Road,AG0851BA1,,1200155,AG,C018
210200,007/2020,31/10/2020,56.92,MOB004078_Butlers Close,AG0100BA1,,9333,AG,C018
210200,007/2020,31/10/2020,38.63,MOB004082_Little Road,AG0027BA1,,1200177,AG,C018
200119,007/2020,31/10/2020,259.66,GNSC005166_Loftus Villas,GN0626BA1,,606,GN,C010
200119,007/2020,31/10/2020,36.04,GNSC005457_Iffley Road,GN0332BA1,,295,GN,C010
200119,007/2020,31/10/2020,137.76,GNSC005471_Rainville Road,GN0181BA1,,184,GN,C010
200119,007/2020,31/10/2020,240.48,GNSC005542_Stowe Road,GN0574BA1,,55,GN,C010
200119,007/2020,31/10/2020,229.89,GNSC005605_Southerton Road,GN0804BA1,,832,GN,C010
200119,007/2020,31/10/2020,196.43,GNSC005609_Cadbury Close,GN0210BA1,,2026,GN,C010
200119,007/2020,31/10/2020,18.02,GNSC005680_Southerton Road,GN0407BA1,,37,GN,C010
200119,007/2020,31/10/2020,36.04,GNSC005691_Macfarlane Road,GN0295BA1,,265,GN,C010
200119,007/2020,31/10/2020,89.54,GNSC005720_Cobbold Road,GN0205BA1,,2001,GN,C010
200119,007/2020,31/10/2020,18.02,GNSC005728_Cranbrook Road,GN0793BA1,,82,GN,C010
200119,007/2020,31/10/2020,81.00,GNSC005755_Tunis Road,GN0610BA1,,590,GN,C010
200119,007/2020,31/10/2020,403.02,GNSC005808_Bedfont Lane,GN0073BA1,,1000364,GN,C010
200119,007/2020,31/10/2020,52.95,GNSC005812_Stanlake Road,GN0617BA1,,597,GN,C010
200119,007/2020,31/10/2020,15.08,GNSC005819_Stowe Road,GN0574BA1,,55,GN,C010
200119,007/2020,31/10/2020,18.02,GNSC005832_Windmill Road,GN0338BA1,,299,GN,C010
200119,007/2020,31/10/2020,78.94,GNSC005834_Gwendwr Road,GN0566BA1,,539,GN,C010
200119,007/2020,31/10/2020,15.08,GNSC005843_Aldensley Road,GN0202BA1,,2,GN,C010
200119,007/2020,31/10/2020,1035.00,GNSC005919_Faroe Road,GN0266BA1,,239,GN,C010
200119,007/2020,31/10/2020,61.58,GNSC005924_Gurnell Grove,GN0188BA1,,1872,GN,C010
200119,007/2020,31/10/2020,14.75,GNSC005925_Gurnell Grove,GN0183BA1,,1857,GN,C010
200119,007/2020,31/10/2020,111.91,GNSC005926_Gurnell Grove,GN0187BA1,,1871,GN,C010
200119,007/2020,31/10/2020,145.85,GNSC005943_Tynemouth Stree,GN0444BA1,,396,GN,C010
200119,007/2020,31/10/2020,24.38,GNSC005944_Cobbold Road,GN0205BA1,,2001,GN,C010
200119,007/2020,31/10/2020,38.98,GNSC005949_Becklow Road,GN0098BA1,,1195,GN,C010
200119,007/2020,31/10/2020,13.46,GNSC005951_Pearscroft Road,GN0305BB1,,2724,GN,C010
200119,007/2020,31/10/2020,81.07,GNSC005952_Overstone Road,GN0155BA1,,157,GN,C010
200119,007/2020,31/10/2020,116.84,GNSC005966_Chiswick High R,GN0646BA1,,633,GN,C010
200119,007/2020,31/10/2020,65.18,GNSC005983_Bath Road,GN0494BA1,,455,GN,C010
200119,007/2020,31/10/2020,45.94,GNSC005997_Lakeside Road,GN0228BA1,,207,GN,C010
200119,007/2020,31/10/2020,15.08,GNSC005998_Girdlers Road,GN0440BA1,,3937,GN,C010
200136,007/2020,31/10/2020,37.26,GNSC006007_Lillie Road,MX0671BA1,,662,GN,C010
200119,007/2020,31/10/2020,134.86,GNSC006023_Sulgrave Road,GN0657BA1,,645,GN,C010
200136,007/2020,31/10/2020,241.73,GNSC006025_Hampton Road We,MX0072BA1,,1000350,GN,C010
200106,007/2020,31/10/2020,86.65,GNSC006031_Wyfold Road,GN0222BA1,,2050,GN,C010
200106,007/2020,31/10/2020,152.06,GNSC006047_Western Road,GN0344BA1,,3027,GN,C010
200119,007/2020,31/10/2020,96.36,GNSC006050_Pembridge Squar,GN0700BA1,,694,GN,C010
200119,007/2020,31/10/2020,9.30,GNSC006051_Pembridge Squar,GN0691BA1,,682,GN,C010
200119,007/2020,31/10/2020,21.00,GNSC006052_Pembridge Garde,GN0597BA1,,577,GN,C010
200119,007/2020,31/10/2020,66.12,GNSC006053_West Cromwell R,GN0595BA1,,574,GN,C010
